unique-sample-id,Image_ID,block_label,cabinet,drawer,row,slide_label,slide_case,slide_slot,tissue(s),species_scientific,species_common,date,name,project,Link to project,notes,extra_notes
20150213_geo-2_NA,,geo-2,1,1,1,geo-2,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-3_NA,,geo-3,1,1,1,geo-3,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-4_NA,,goe-4,1,1,1,goe-4,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-7_NA,,geo-7,1,1,1,geo-7,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-8_NA,,geo-8,1,1,1,geo-8,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-9_NA,,geo-9,1,1,1,geo-9,1,,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-25_NA,,geo-25,1,1,1,geo-25,1,1,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-26_NA,,geo-26,1,1,1,geo-26,1,2,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-27_NA,,geo-27,1,1,1,geo-27,1,3,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-28_NA,,geo-28,1,1,1,geo-28,1,4,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-29_NA,,geo-29,1,1,1,geo-29,1,5,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-30_NA,,geo-30,1,1,1,geo-30,1,6,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-31_NA,,geo-31,1,1,1,geo-31,1,7,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-32_NA,,geo-32,1,1,1,geo-32,1,8,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-33_NA,,geo-33,1,1,1,geo-33,1,9,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-34_NA,,geo-34,1,1,1,geo-34,1,10,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-35_NA,,geo-35,1,1,1,geo-35,1,11,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-36_NA,,geo-36,1,1,1,geo-36,1,12,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-37_NA,,geo-37,1,1,1,geo-37,1,13,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-38_NA,,geo-38,1,1,1,geo-38,1,14,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-39_NA,,geo-39,1,1,1,geo-39,1,15,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-40_NA,,geo-40,1,1,1,geo-40,1,16,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-41_NA,,geo-41,1,1,1,geo-41,1,17,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-42_NA,,geo-42,1,1,1,geo-42,1,18,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-43_NA,,geo-43,1,1,1,geo-43,1,19,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-44_NA,,geo-44,1,1,1,geo-44,1,20,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-45_NA,,geo-45,1,1,1,geo-45,1,21,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-46_NA,,geo-46,1,1,1,geo-46,1,22,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-47_NA,,geo-47,1,1,1,geo-47,1,23,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-48_NA,,geo-48,1,1,1,geo-48,1,24,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-49_NA,,geo-49,1,1,1,geo-49,1,25,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-50_NA,,geo-50,1,1,1,geo-50,1,26,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-51_NA,,geo-51,1,1,1,geo-51,1,27,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-52_NA,,geo-52,1,1,1,geo-52,1,28,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-53_NA,,geo-53,1,1,1,geo-53,1,29,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-54_NA,,geo-54,1,1,1,geo-54,1,30,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-55_NA,,geo-55,1,1,1,geo-55,1,31,,P_generosa,geoduck,20150213,grace,,,,
