unique-sample-id,Image_ID,block_label,cabinet,drawer,row,slide_label,slide_case,slide_slot,tissue(s),species_scientific,species_common,date,name,project,Link to project,notes,extra_notes
20150213_geo-56_NA,,geo-56,1,1,1,geo-56,1,32,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-57_NA,,geo-57,1,1,2,geo-57,1,33,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-58_NA,,geo-58,1,1,2,geo-58,1,34,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-59_NA,,geo-59,1,1,2,geo-59,1,35,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-60_NA,,geo-60,1,1,2,geo-60,1,36,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-61_NA,,geo-61,1,1,2,geo-61,1,37,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-62_NA,,geo-62,1,1,2,geo-62,1,38,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-63_NA,,geo-63,1,1,2,geo-63,1,39,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-64_NA,,geo-64,1,1,2,geo-64,1,40,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-65_NA,,geo-65,1,1,2,geo-65,1,41,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-66_NA,,geo-66,1,1,2,geo-66,1,42,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-67_NA,,geo-67,1,1,2,geo-67,1,43,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-68_NA,,geo-68,1,1,2,geo-68,1,44,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-69_NA,,geo-69,1,1,2,geo-69,1,45,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-70_NA,,geo-70,1,1,2,geo-70,1,46,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-1_NA,,geo-1,1,1,2,geo-1,1,47,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-2_NA,,geo-5,1,1,2,geo-2,1,48,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-3_NA,,geo-6,1,1,2,geo-3,1,49,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-4 _NA,,geo-10,1,1,2,geo-4,1,50,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-5_NA,,geo-11,1,1,2,geo-5,1,51,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-6_NA,,geo-12,1,1,2,geo-6,1,52,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-7_NA,,geo-13,1,1,2,geo-7,1,53,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-8_NA,,geo-14,1,1,2,geo-8,1,54,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-9_NA,,geo-15,1,1,2,geo-9,1,55,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-10_NA,,geo-16,1,1,2,geo-10,1,56,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-11_NA,,geo-17,1,1,2,geo-11,1,57,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-12_NA,,geo-18,1,1,2,geo-12,1,58,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-13_NA,,geo-19,1,1,2,geo-13,1,59,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-14_NA,,geo-20,1,1,2,geo-14,1,60,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-15_NA,,geo-21,1,1,2,geo-15,1,61,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-16_NA,,geo-22,1,1,2,geo-16,1,62,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-17_NA,,geo-23,1,1,2,geo-17,1,63,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-18_NA,,geo-24,1,1,2,geo-18,1,64,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-19_NA,,,1,1,2,geo-19,1,65,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-20_NA,,,1,1,2,geo-20,1,66,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-21_NA,,,1,1,2,geo-21,1,67,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-22_NA,,,1,1,2,geo-22,1,68,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-23_NA,,,1,1,2,geo-23,1,69,,P_generosa,geoduck,20150213,grace,,,,
20150213_geo-24_NA,,,1,1,2,geo-24,1,70,,P_generosa,geoduck,20150213,grace,,,,
20120211_h2.1_NA,,h2.1,1,1,2,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.3_NA,,h2.3,1,1,2,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.8_NA,,h2.8,1,1,2,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.9_NA,,h2.9,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.14_NA,,h2.14,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.15_NA,,h2.15,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.18_NA,,h2.18,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.21_NA,,h2.21,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.34_NA,,h2.34,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.80_NA,,h2.80,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.84_NA,,h2.84,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.85_NA,,h2.85,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.87_NA,,h2.87,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.88_NA,,h2.88,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.93_NA,,h2.93,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.96_NA,,h2.96,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.4_NA,,h2.4,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.5_NA,,h2.5,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.7_NA,,h2.7,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.11_NA,,h2.11,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.12_NA,,h2.12,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.17_NA,,h2.17,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.18_NA,,h2.18,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.20_NA,,h2.20,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.73_NA,,h2.73,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.75_NA,,h2.75,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.76_NA,,h2.76,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.81_NA,,h2.81,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.83_NA,,h2.83,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.121_NA,,h2.121,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.122_NA,,h2.122,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.123_NA,,h2.123,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.124_NA,,h2.124,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.125_NA,,h2.125,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.126_NA,,h2.126,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.127_NA,,h2.127,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.129_NA,,h2.129,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.130_NA,,h2.130,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.131_NA,,h2.131,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.132_NA,,h2.132,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.133_NA,,h2.133,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.134_NA,,h2.134,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.135_NA,,h2.135,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.136_NA,,h2.136,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20120211_h2.137_NA,,h2.137,1,1,3,,,,,,oyster,2.11.12,emma,,,,
20171113_1_NA,,1,1,1,4,1,1,71,,,scallop,11.13.17,grace,,,,
20171113_2_NA,,2,1,1,4,2,1,72,,,scallop,11.13.17,grace,,,,
20171113_3_NA,,3,1,1,4,3,1,73,,,scallop,11.13.17,grace,,,,
20171113_4_NA,,4,1,1,4,4,1,74,,,scallop,11.13.17,grace,,,,
20171113_5_NA,,5,1,1,4,5,1,75,,,scallop,11.13.17,grace,,,,
20171113_6_NA,,6,1,1,4,6,1,76,,,scallop,11.13.17,grace,,,,
20171113_7_NA,,7,1,1,4,7,1,77,,,scallop,11.13.17,grace,,,,
20171113_8_NA,,8,1,1,4,8,1,78,,,scallop,11.13.17,grace,,,,
20171113_9_NA,,9,1,1,4,9,1,79,,,scallop,11.13.17,grace,,,,
20171113_10_NA,,10,1,1,4,10,1,80,,,scallop,11.13.17,grace,,,,
20171113_37_NA,,37,1,1,4,37,1,81,,,scallop,11.13.17,grace,,,,
20171113_44_NA,,44,1,1,4,44,1,82,,,scallop,11.13.17,grace,,,,
20171113_45_NA,,45,1,1,4,45,1,83,,,scallop,11.13.17,grace,,,,
20171113_48_NA,,48,1,1,4,48,1,84,,,scallop,11.13.17,grace,,,,
20171113_51_NA,,51,1,1,4,51,1,85,,,scallop,11.13.17,grace,,,,
20171113_63_NA,,63,1,1,4,63,1,86,,,scallop,11.13.17,grace,,,,
20171113_66_NA,,66,1,1,4,66,1,87,,,scallop,11.13.17,grace,,,,
20171113_236_NA,,236,1,1,4,236,1,88,,,scallop,11.13.17,grace,,,,
20171113_240_NA,,240,1,1,4,240,1,89,,,scallop,11.13.17,grace,,,,
20171113_246_NA,,246,1,1,4,246,1,90,,,scallop,11.13.17,grace,,,,
20171113_247_NA,,247,1,1,4,247,1,91,,,scallop,11.13.17,grace,,,,
20171113_362_NA,,362,1,1,4,362,1,92,,,scallop,11.13.17,grace,,,,
20171113_363_NA,,363,1,1,4,363,1,93,,,scallop,11.13.17,grace,,,,
20171113_364_NA,,364,1,1,4,364,1,94,,,scallop,11.13.17,grace,,,,
20171113_373_NA,,373,1,1,4,373,1,95,,,scallop,11.13.17,grace,,,,
20171113_374_NA,,374,1,1,4,374,1,96,,,scallop,11.13.17,grace,,,,
20171113_375_NA,,375,1,1,4,375,1,97,,,scallop,11.13.17,grace,,,,
20171113_377_NA,,377,1,1,4,377,1,98,,,scallop,11.13.17,grace,,,,
20171113_388_NA,,388,1,1,4,388,1,99,,,scallop,11.13.17,grace,,,,
20171113_389_NA,,389,1,1,4,389,1,100,,,scallop,11.13.17,grace,,,,
20171113_392_NA,,392,1,1,4,392,2,1,,,scallop,11.13.17,grace,,,,
20171113_ul1_NA,,ul1,1,1,4,,,,,,scallop,11.13.17,grace,,,,
20171113_ul2_NA,,ul2,1,1,4,,,,,,scallop,11.13.17,grace,,,,
20171113_ul3_NA,,ul3,1,1,4,,,,,,scallop,11.13.17,grace,,,,
20171113_ul4_NA,,ul4,1,1,4,,,,,,scallop,11.13.17,grace,,,,
20171113_ul5_NA,,ul5,1,1,4,,,,,,scallop,11.13.17,grace,,,,
20171113_ul6_NA,,ul6,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul7_NA,,ul7,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul8_NA,,ul8,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul9_NA,,ul9,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul10_NA,,ul10,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul11_NA,,ul11,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul12_NA,,ul12,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul13_NA,,ul13,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul14_NA,,ul14,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20171113_ul15_NA,,ul15,1,1,5,,,,,,scallop,11.13.17,grace,,,,
20130131_ev2-1h_NA,,ev2-1h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-2h_NA,,ev2-2h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-3h_NA,,ev2-3h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-4h_NA,,ev2-4h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-5h_NA,,ev2-5h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-6h_NA,,ev2-6h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-7h_NA,,ev2-7h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-8h_NA,,ev2-8h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-9h_NA,,ev2-9h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20130131_ev2-10h_NA,,ev2-10h,1,1,5,,,,,,oyster,1.31.13,mackenzie,,,,
20120710_91.h_NA,,91.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_96.h_NA,,96.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_97.h_NA,,97.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_98.h_NA,,98.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_108.h_NA,,108.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_110.h_NA,,110.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_112.h_NA,,112.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_115.h_NA,,115.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_116.h_NA,,116.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_119.h_NA,,119.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_120.h_NA,,120.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_152.h_NA,,152.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_153.h_NA,,153.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_155.h_NA,,155.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_156.h_NA,,156.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_157.h_NA,,157.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_159.h_NA,,159.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_166.h_NA,,166.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20120710_172.h_NA,,172.h,1,1,5,,,,,,oyster,7.10.12,mackenzie,,,,
20170229_nf6.1-4.(1notch)_visceralmass,,nf6.1-4.(1 notch),1,1,6,nf6.1-4.(1 notch),2,2,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf6.5-8.(2notch)_visceralmass,,nf6.5-8.(2 notch),1,1,6,nf6.5-8.(2 notch),2,3,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf6.9-12.(3notch)_visceralmass,,nf6.9-12.(3 notch),1,1,6,nf6.9-12.(3 notch),2,4,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf6.13-15.(4notch)_visceralmass,,nf6.13-15.(4 notch),1,1,6,nf6.13-15.(4 notch),2,5,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf10.2-5.(5notch)_visceralmass,,nf10.2-5.(5 notch),1,1,6,nf10.2-5.(5 notch),2,6,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf10.6-9.(6notch)_visceralmass,,nf10.6-9.(6 notch),1,1,6,nf10.6-9.(6 notch),2,7,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf10.10-14.(7notch)_visceralmass,,nf10.10-14.(7 notch),1,1,6,nf10.10-14.(7 notch),2,8,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_nf10.14-15.(8notch)_visceralmass,,nf10.14-15.(8 notch),1,1,6,nf10.14-15.(8 notch),2,9,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_sn6.3-6.(9notch)_visceralmass,,sn6.3-6.(9 notch),1,1,6,sn6.3-6.(9 notch),2,10,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_sn6.7-10.(10notch)_visceralmass,,sn6.7-10.(10 notch),1,1,6,sn6.7-10.(10 notch),2,11,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_sn6.11-15.(11notch)_visceralmass,,sn6.11-15.(11 notch),1,1,6,sn6.11-15.(11 notch),2,12,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_hl10.6-9.(19notch)_visceralmass,,hl10.6-9.(19 notch),1,1,6,hl10.6-9.(19 notch),2,13,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_sn10.1-4.(11notch)_visceralmass,,sn10.1-4.(11 notch),1,1,6,sn10.1-4.(11 notch),2,14,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
20170229_sn10.5-8.(13notch)_visceralmass,,sn10.5-8.(13 notch),1,1,6,sn10.5-8.(13 notch,2,15,whole visceral mass,O_lurida,Olympia oyster,2.29.17,Laura Spencer,Ostrea lurida ocean acidification effect on multiple Puget Sound populations,https://github.com/laurahspencer/O.lurida_Stress/tree/master/Data,"Multiple tissues are in the same block/slide.  For sample ""key"" see https://github.com/laurahspencer/O.lurida_Stress/blob/master/Data/2017-April-HistoKey.pdf; For gonad results see https://github.com/RobertsLab/Paper-oly-adult-oa/blob/master/Data/histology_data.csv",
